learner,task,measure,min_runtime,mean_runtime,max_runtime,total_runtime,total_config,total_errors
lightgbm,ilpd,mcc,9.81899999999969,11.3497499999997,20.3305999999995,219.206165,1100,20
ranger,blood-transfusion-service-center,ce,10.7078999999996,12.08455,15.6716,105.702306666667,500,0
ranger,blood-transfusion-service-center,bacc,10.7062000000001,12.0149999999999,15.5013,105.540998333333,500,0
ranger,blood-transfusion-service-center,logloss,11.1301000000003,13.3606999999998,22.0618,124.762461666667,500,0
ranger,blood-transfusion-service-center,auc,11.0100999999999,13.3459500000001,21.8832,124.235916666667,500,0
ranger,blood-transfusion-service-center,mcc,10.7621000000003,12.8708500000001,20.4534,118.893396666667,500,0
ranger,balance-scale,ce,11.2557999999997,13.6559,22.252,123.611521666667,500,0
ranger,balance-scale,bacc,10.9721000000003,13.6477500000001,22.4055,123.432976666667,500,0
ranger,balance-scale,logloss,11.0976000000002,13.4650500000002,22.1533,122.221191666667,500,0
ranger,balance-scale,auc,11.0429999999998,13.25,21.6125,121.82945,500,0
ranger,balance-scale,mcc,10.673,12.2862000000001,16.0396000000002,106.69579,500,0
ranger,ilpd,ce,11.2303999999999,12.5720999999999,15.572,108.752345,500,0
ranger,ilpd,bacc,11.0400000000005,12.53995,15.5908,108.142071666667,500,0
ranger,ilpd,logloss,10.6784,13.1471500000002,15.8543,111.24418,500,0
ranger,ilpd,auc,10.8084999999997,12.9299,16.0767,110.182978333333,500,0
ranger,ilpd,mcc,10.6879999999997,12.40585,16.4988,109.062585,500,0
svm,blood-transfusion-service-center,ce,8.2944000000005,9.50824999999968,158.867,104.154773333333,400,0
svm,blood-transfusion-service-center,bacc,7.72710000000006,9.84050000000002,156.1739,185.812501666667,400,0
svm,blood-transfusion-service-center,logloss,8.80579999999991,10.78935,159.2316,115.53582,400,0
svm,blood-transfusion-service-center,auc,8.4496000000001,10.0751000000001,159.8191,160.003921666667,400,0
svm,blood-transfusion-service-center,mcc,8.14519999999975,10.7934999999999,157.5333,189.028173333333,400,0
svm,balance-scale,ce,8.80529999999999,10.90125,168.5003,111.870961666667,400,0
svm,balance-scale,bacc,8.84469999999965,11.1892500000003,154.0285,112.98764,400,0
svm,balance-scale,logloss,8.70370000000021,10.7961000000001,150.5388,110.96659,400,0
svm,balance-scale,auc,8.49500000000007,10.5165999999999,160.5339,103.689236666667,400,0
svm,balance-scale,mcc,8.60920000000024,9.73115000000012,152.2855,105.698205,400,0
svm,ilpd,ce,9.38250000000025,10.6111,126.0218,91.1629516666667,400,0
svm,ilpd,bacc,8.80920000000042,11.26095,118.5345,100.701303333333,400,0
svm,ilpd,logloss,9.33740000000007,11.01185,125.4535,88.6731,400,0
svm,ilpd,auc,9.38890000000001,10.90015,125.1675,87.5736366666667,400,0
svm,ilpd,mcc,8.53860000000004,12.56905,125.6082,140.62287,400,0
xgboost,blood-transfusion-service-center,ce,9.81239999999944,11.3524999999998,15.584,158.30288,800,0
xgboost,blood-transfusion-service-center,bacc,9.82629999999972,11.45205,15.7053,159.659193333333,800,0
xgboost,blood-transfusion-service-center,logloss,10.0381000000001,12.2280499999999,24.3012,180.5249,800,0
xgboost,blood-transfusion-service-center,auc,10.1169000000002,11.9705000000001,20.3316,174.360176666667,800,0
xgboost,blood-transfusion-service-center,mcc,9.9645999999997,12.0792499999999,20.3617,175.467591666667,800,0
xgboost,balance-scale,ce,9.99929999999968,12.4124500000002,22.2234,177.618428333333,800,0
xgboost,balance-scale,bacc,10.0143,12.4579000000002,22.4685,178.98307,800,0
xgboost,balance-scale,logloss,10.8856000000002,15.6114000000002,30.6311,216.99521,800,0
xgboost,balance-scale,auc,10.2032999999999,11.7621499999999,16.1131,164.591086666667,800,0
xgboost,balance-scale,mcc,10.2796999999999,11.7461999999999,15.8148,164.229891666666,800,0
xgboost,ilpd,ce,10.1483000000009,11.9285499999998,15.4677,162.454803333333,800,0
xgboost,ilpd,bacc,10.1424000000003,12.0131000000002,15.5769,163.640458333333,800,0
xgboost,ilpd,logloss,9.74110000000037,12.0295,18.3524,165.639468333333,800,0
xgboost,ilpd,auc,9.9891999999998,12.0740500000003,15.9172,163.551698333333,800,0
xgboost,ilpd,mcc,10.1546000000002,11.66125,21.3611000000003,164.975921666667,800,0
