job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,k,distance,kernel,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated,x_domain_k,x_domain_distance,x_domain_kernel
2,kknn,blood-transfusion-service-center,ce,293,0,0,0.197873873873874,0.651977984176127,0.559114720154579,0.748933608531132,0.377730413113705,3.1304135384207,2.87424493674189,rectangular,232.110999999999,2024-07-11T01:08:56.249456Z,-6.90875477931518,8.54267825362206e-05,FALSE,22,2.87424493674189,rectangular
9,kknn,blood-transfusion-service-center,bacc,283,0,0,0.203225225225225,0.648469212246302,0.56155540296253,0.748343079922027,0.364846504446016,3.13265298172383,3.70738832838833,rectangular,336.088000000002,2024-07-11T01:04:42.146302Z,-6.90875477931492,5.05453780552008e-07,FALSE,22,3.70738832838833,rectangular
16,kknn,blood-transfusion-service-center,logloss,285,0,0,0.215243243243243,0.60983832129343,0.468391543209112,0.764849214539617,0.308937693583832,3.68421511398146,2.02146690990776,rectangular,288.816000000001,2024-07-11T01:03:58.177422Z,-6.90875477931522,8.73402125345349e-05,FALSE,39,2.02146690990776,rectangular
23,kknn,blood-transfusion-service-center,auc,129,0,0,0.225891891891892,0.577949776401789,0.473466404706164,0.763542024997133,0.240387401003916,4.60626507328847,2.35896097961813,cos,271.282000000003,2024-07-10T23:20:34.644947Z,-6.90875477931513,5.16580779791227e-05,FALSE,100,2.35896097961813,cos
30,kknn,blood-transfusion-service-center,mcc,112,0,0,0.199225225225225,0.65110079119367,0.559277602350355,0.74880174291939,0.375036106449184,3.12186966676651,2.88267038483173,rectangular,264.899000000002,2024-07-10T23:09:27.097590Z,-6.90875477931532,0.000147310831015089,FALSE,22,2.88267038483173,rectangular
37,kknn,balance-scale,ce,195,0,0,0.0879928315412186,0.659688013136289,0.4876362112031,0.956835116924296,0.846515828410297,4.42856362591701,1.00152808520943,inv,365.623000000002,2024-07-11T00:06:12.404187Z,-6.90875477931519,9.91266708901969e-06,FALSE,83,1.00152808520943,inv
44,kknn,balance-scale,bacc,272,0,0,0.0864055299539171,0.660837438423645,0.485680765009549,0.957015740898024,0.849324410979245,4.43050009795155,1.00314455665648,inv,221.488000000005,2024-07-11T00:54:48.370866Z,-6.90875477931562,3.62259754951322e-07,FALSE,83,1.00314455665648,inv
51,kknn,balance-scale,logloss,220,0,0,0.0992319508448541,0.651600985221675,0.377343293761477,0.965369741237756,0.8260017644821,3.40196623170858,2.43632114958018,rank,274.017999999996,2024-07-11T00:10:22.732980Z,-6.90875477931522,9.55842577001625e-05,FALSE,30,2.43632114958018,rank
58,kknn,balance-scale,auc,206,0,0,0.0992063492063492,0.651559934318555,0.47023831076234,0.977155597078308,0.825481476422635,4.50114437480539,3.99315817095339,inv,260.159,2024-07-11T00:04:13.878529Z,-6.90875477931516,6.36933290969763e-07,FALSE,90,3.99315817095339,inv
65,kknn,balance-scale,mcc,32,0,0,0.0928059395801331,0.6561986863711,0.463219540942158,0.966840496008153,0.837672157681373,4.52815700155361,1.02422697238624,epanechnikov,497.341,2024-07-10T22:19:40.254078Z,-6.90875477931497,,,92,1.02422697238624,epanechnikov
72,kknn,ilpd,ce,292,0,0,0.258912916423144,0.555503176880508,0.514342638999151,0.720367262758762,0.247439554814356,4.07002110041656,4.16376926284283,inv,292.333000000004,2024-07-11T01:56:58.273111Z,-6.90875477931525,5.02929285173545e-07,FALSE,58,4.16376926284283,inv
79,kknn,ilpd,bacc,194,0,0,0.310140268848627,0.64303456138553,4.77961676109429,0.675078461262554,0.275659566676269,0.83719508305855,1.10772860702127,rectangular,320.668,2024-07-11T00:05:14.791523Z,-6.90875477931493,4.1957288676189e-10,FALSE,2,1.10772860702127,rectangular
86,kknn,ilpd,logloss,289,0,0,0.267416715371128,0.546049395367903,0.511704059724042,0.744668263646922,0.191314725584776,4.15519700775227,1.6170668983832,inv,321.690000000002,2024-07-11T01:06:08.940207Z,-6.90875477931522,3.57284652633014e-05,FALSE,63,1.6170668983832,inv
93,kknn,ilpd,auc,176,0,0,0.272647574517826,0.531422294527567,0.517723791868077,0.75168387476942,0.1471352924119,4.36929435491401,1.26071229204535,inv,346.654999999999,2024-07-10T23:58:21.942469Z,-6.90875477931528,3.0557061357455e-12,FALSE,78,1.26071229204535,inv
100,kknn,ilpd,mcc,23,0,0,0.310286382232613,0.632433644189383,3.35424948815346,0.671071172371388,0.260252961645017,1.33050244520102,3.20854621796558,epanechnikov,351.969,2024-07-10T22:05:39.843273Z,-6.90875477931528,,,3,3.20854621796558,epanechnikov
107,kknn,dresses-sales,ce,202,0,0,0.374,0.569211822660099,0.66493999827722,0.594663382594417,0.203456557667242,4.34064094233812,3.20405038259923,rank,289.403000000002,2024-07-11T00:11:15.282190Z,-6.90875477931538,5.47799487191247e-05,FALSE,76,3.20405038259923,rank
114,kknn,dresses-sales,bacc,204,0,0,0.382,0.591215106732348,0.684582488968327,0.58743842364532,0.194360593747311,2.62988574156023,4.26057770010084,rectangular,293.062999999995,2024-07-11T00:12:20.067586Z,-6.9087547793153,0.000155897255357294,FALSE,13,4.26057770010084,rectangular
121,kknn,dresses-sales,logloss,227,0,0,0.382,0.555090311986864,0.657349641771675,0.636288998357964,0.182480286103764,4.3528341406066,3.14060837216675,rectangular,330.656999999999,2024-07-11T00:28:50.211995Z,-6.90875477931522,1.51584510383209e-05,FALSE,77,3.14060837216675,rectangular
128,kknn,dresses-sales,auc,98,0,0,0.38,0.557471264367816,0.658433868267048,0.639490968801314,0.181305565261742,4.36014702721163,2.5120987650007,rectangular,369.26,2024-07-10T22:59:30.207011Z,-6.90875477931553,5.89427221936834e-05,FALSE,78,2.5120987650007,rectangular
135,kknn,dresses-sales,mcc,148,0,0,0.376,0.562233169129721,0.658221190580952,0.629064039408867,0.197861620171479,4.27833290026458,2.641950330697,rectangular,441.965999999995,2024-07-11T00:10:26.453665Z,-6.90875477931521,5.36626358136777e-05,FALSE,72,2.641950330697,rectangular
142,kknn,banknote-authentication,ce,11,0,0,0.00072463768115942,0.999350649350649,0.0166665476895205,0.999872258888652,0.998544072511051,3.57316662479625,2.73358394759397,gaussian,617.955,2024-07-10T22:01:44.681756Z,-6.90875477931522,,,35,2.73358394759397,gaussian
149,kknn,banknote-authentication,bacc,1,0,0,0.00072463768115942,0.999350649350649,0.0344375030458678,0.999276133702363,0.998544072511051,3.08674939983998,3.95690959780167,gaussian,483.857,2024-07-10T21:51:24.668366Z,-6.90875477931538,,,21,3.95690959780167,gaussian
156,kknn,banknote-authentication,logloss,257,0,0,0.00072463768115942,0.999350649350649,0.00677748163413438,0.999914839259102,0.998544072511051,3.10842413123511,1.06666139792651,inv,266.023999999994,2024-07-11T00:38:57.868782Z,-6.90875477931522,8.09221613313098e-05,FALSE,22,1.06666139792651,inv
163,kknn,banknote-authentication,auc,28,0,0,0.00218449169575796,0.998034859876965,0.0229984760965401,1,0.995640601834623,3.9918556670929,1.10554519860695,gaussian,323.808,2024-07-10T22:09:00.681350Z,-6.90875477929609,,,54,1.10554519860695,gaussian
170,kknn,banknote-authentication,mcc,9,0,0,0.00072463768115942,0.999350649350649,0.0146375251618832,0.999829678518203,0.998544072511051,3.32742299113622,4.30671312401692,gaussian,302.166,2024-07-10T21:56:50.265651Z,-6.90875477931554,,,27,4.30671312401692,gaussian
177,kknn,diabetes,ce,198,0,0,0.238311688311688,0.686233618233618,0.494260397011005,0.832549857549858,0.446857750516301,4.2457975260675,1.42448075301945,rank,358.73,2024-07-11T00:12:28.636988Z,-6.90875477931526,0.000110203553583381,FALSE,69,1.42448075301945,rank
184,kknn,diabetes,bacc,120,0,0,0.242122351332878,0.711347578347578,0.752971704343278,0.802561253561254,0.449438512662672,3.1322581328605,3.79607344605029,epanechnikov,312.972000000001,2024-07-10T23:16:12.179325Z,-6.90875477931519,1.32028669072036e-06,FALSE,22,3.79607344605029,epanechnikov
191,kknn,diabetes,logloss,175,0,0,0.238345864661654,0.68694301994302,0.489344252788967,0.834584045584046,0.446623661636889,3.88353716118796,1.03025374095887,inv,396.365999999999,2024-07-10T23:55:45.789746Z,-6.90875477931522,9.23584061885487e-05,FALSE,48,1.03025374095887,inv
198,kknn,diabetes,auc,298,0,0,0.243506493506494,0.676980056980057,0.491440624966064,0.838188034188034,0.433799338666701,3.95007321774285,1.03161267098039,rectangular,273.815999999992,2024-07-11T00:59:49.659797Z,-6.90875477931515,2.40015727713077e-05,FALSE,51,1.03161267098039,rectangular
205,kknn,diabetes,mcc,140,0,0,0.229220779220779,0.694866096866097,0.492512575381542,0.832638176638177,0.472201769285698,3.77218361493454,1.00426900293678,rectangular,366.484999999999,2024-07-10T23:29:26.826879Z,-6.90875477931536,3.47571616350281e-05,FALSE,43,1.00426900293678,rectangular
212,kknn,breast-w,ce,253,0,0,0.027184265010352,0.972276570048309,0.135157790455078,0.991659822866345,0.9410020839324,3.7400321142341,2.55016328301281,triweight,250.153999999999,2024-07-11T00:47:23.988124Z,-6.90875477931522,0.000187818504570749,FALSE,42,2.55016328301281,triweight
219,kknn,breast-w,bacc,9,0,0,0.027184265010352,0.972276570048309,0.133701401074647,0.991752415458937,0.9410020839324,3.73386225263249,2.3974148050199,triweight,426.892,2024-07-10T21:56:49.630943Z,-6.90875477931413,,,41,2.3974148050199,triweight
226,kknn,breast-w,logloss,270,0,0,0.037184265010352,0.960765700483092,0.0947640103500228,0.993221175523349,0.919669968453394,3.06619885680774,3.96332194376737,inv,252.987999999999,2024-07-11T01:06:41.727173Z,-6.90875477931522,2.21630259605597e-05,FALSE,21,3.96332194376737,inv
233,kknn,breast-w,auc,190,0,0,0.0414699792960663,0.952606280193237,0.106841645929385,0.994377133655395,0.909908981217014,4.05706726324667,3.06240031868219,inv,296.427999999999,2024-07-11T00:05:30.052164Z,-6.90875477931494,9.97899656822953e-06,FALSE,57,3.06240031868219,inv
240,kknn,breast-w,mcc,96,0,0,0.027184265010352,0.971280193236715,0.225329164044299,0.989354388083736,0.940562253976604,2.88606683314185,1.03136393986642,biweight,390.795999999999,2024-07-10T22:57:34.362747Z,-6.90875477931478,0.000191520471523093,FALSE,17,1.03136393986642,biweight
247,kknn,tic-tac-toe,ce,16,0,0,0.00834429824561403,0.987967914438503,0.186099457271517,0.999710623904172,0.981695356724557,2.68128951986339,4.67237754782041,inv,494.712,2024-07-10T22:04:50.772940Z,-6.90875477931522,,,14,4.67237754782041,inv
254,kknn,tic-tac-toe,bacc,87,0,0,0.00834429824561403,0.987967914438503,0.169634897660758,0.9999037999038,0.981695356724557,2.91576915293667,4.72876879107207,biweight,418.030000000003,2024-07-10T23:02:20.571634Z,-6.90875477931527,0.000180183705400112,FALSE,18,4.72876879107207,biweight
261,kknn,tic-tac-toe,logloss,287,0,0,0.0302960526315789,0.963287934919813,0.140935159751206,0.995848062261724,0.933387152775873,2.52295606753834,1.00017470307648,biweight,360.504000000001,2024-07-11T01:47:53.434055Z,-6.90875477931522,3.74827747222365e-05,FALSE,12,1.00017470307648,biweight
268,kknn,tic-tac-toe,auc,21,0,0,0.0093969298245614,0.986452762923351,0.179171660373555,0.9999037999038,0.979402728909257,2.62351017168609,4.06104076287399,gaussian,390.995,2024-07-10T22:04:12.877492Z,-6.90875477931549,,,13,4.06104076287399,gaussian
275,kknn,tic-tac-toe,mcc,83,0,0,0.00834429824561403,0.987967914438503,0.192746166727944,0.9998075998076,0.981695356724557,3.00982900926156,1.66779810376465,rank,357.675000000002,2024-07-10T22:45:08.412202Z,-6.90875477931525,0.000223710447703806,FALSE,20,1.66779810376465,rank
282,kknn,Australian,ce,82,0,0,0.12463768115942,0.868122415219189,0.346991470221112,0.925032287086616,0.749794705080138,4.60426383326619,1.06247365381569,triweight,347.761,2024-07-10T22:46:45.753147Z,-6.90875477931516,0.000191303624919844,FALSE,99,1.06247365381569,triweight
289,kknn,Australian,bacc,40,0,0,0.127536231884058,0.864545731574594,0.481704590073513,0.923751396688578,0.744784114704015,3.7183988689227,1.43300178059687,cos,401.911,2024-07-10T22:17:04.728371Z,-6.90875477931501,,,41,1.43300178059687,cos
296,kknn,Australian,logloss,125,0,0,0.126086956521739,0.866509511993383,0.346173134389507,0.92537358698649,0.746895368531832,4.61003161840924,1.00813724473119,triweight,398.505,2024-07-10T23:12:26.494954Z,-6.90875477931522,3.47965703427691e-05,FALSE,100,1.00813724473119,triweight
303,kknn,Australian,auc,148,0,0,0.130434782608696,0.861212398241261,0.349352044774939,0.928867412534645,0.739354947606673,3.95546816063209,1.14958518370986,gaussian,405.455999999998,2024-07-10T23:40:12.824980Z,-6.90875477931505,2.11533447354099e-05,FALSE,52,1.14958518370986,gaussian
310,kknn,Australian,mcc,114,0,0,0.126086956521739,0.865861521048278,0.351672886635195,0.925543946715424,0.74858256319356,4.46556053287544,1.45298093091697,biweight,273.440000000001,2024-07-10T23:16:05.284638Z,-6.90875477931548,7.14051702643405e-05,FALSE,86,1.45298093091697,biweight
317,kknn,credit-approval,ce,135,0,0,0.133333333333333,0.859598842018197,0.358438646230728,0.921505231233584,0.731648173475265,4.24639994195953,1.35480948351324,cos,519.404,2024-07-10T23:58:21.466655Z,-6.90875477931518,3.17075413087497e-05,FALSE,69,1.35480948351324,cos
324,kknn,credit-approval,bacc,189,0,0,0.131884057971015,0.861616385877846,0.359136312659695,0.919035305385051,0.734389668690969,4.0739297944807,1.42270103562623,cos,526.394,2024-07-11T00:52:40.322506Z,-6.90875477931532,6.9799143873201e-07,FALSE,58,1.42270103562623,cos
331,kknn,credit-approval,logloss,131,0,0,0.140579710144928,0.853317008401898,0.350509430015055,0.922353547226213,0.716923948165506,4.61151431694929,1.00048727169633,triweight,457.939000000002,2024-07-10T23:23:39.043294Z,-6.90875477931522,3.74837309814795e-05,FALSE,100,1.00048727169633,triweight
338,kknn,credit-approval,auc,168,0,0,0.144927536231884,0.846169735753777,0.364809810122679,0.924055403189529,0.709648000426085,4.05443445179837,1.10544248111546,inv,554.341999999997,2024-07-11T00:25:39.642509Z,-6.908754779315,6.78667201232825e-05,FALSE,57,1.10544248111546,inv
345,kknn,credit-approval,mcc,150,0,0,0.133333333333333,0.859949719211179,0.358619955941427,0.919203923787965,0.731675274449704,3.99612319577408,1.3705826010555,cos,510.791000000003,2024-07-11T00:09:27.534061Z,-6.90875477931539,8.25989957926275e-06,FALSE,54,1.3705826010555,cos
352,kknn,climate-model-simulation-crashes,ce,112,0,0,0.0703703703703704,0.5965,0.600481888434478,0.828234693877551,0.322128115670559,2.05882834828542,1.8870499972254,gaussian,429.673000000001,2024-07-10T23:21:19.191097Z,-6.90875477931519,0.000179512924451809,FALSE,7,1.8870499972254,gaussian
359,kknn,climate-model-simulation-crashes,bacc,108,0,0,0.1,0.643295918367347,1.46274051229651,0.722051020408163,0.326572000866171,1.1751708126284,4.88798505160958,biweight,352.794,2024-07-10T23:16:59.183066Z,-6.90875477931486,0.00023146438045975,FALSE,3,4.88798505160958,biweight
366,kknn,climate-model-simulation-crashes,logloss,269,0,0,0.0851851851851852,0.5,0.202643444109445,0.928091836734694,0,3.65260219066371,1.18430485483259,gaussian,138.485999999999,2024-07-11T08:12:59.035563Z,-6.90875477931522,0.000115046231749238,FALSE,38,1.18430485483259,gaussian
373,kknn,climate-model-simulation-crashes,auc,281,0,0,0.0851851851851852,0.5,0.226803361844108,0.944959183673469,0,4.59987364576098,1.5904444064945,inv,123.138000000001,2024-07-11T11:40:41.617725Z,-6.90875477931512,2.54572782358886e-05,FALSE,99,1.5904444064945,inv
380,kknn,climate-model-simulation-crashes,mcc,91,0,0,0.0777777777777778,0.637438775510204,0.75243162811506,0.804663265306122,0.409618708242031,1.71046037453373,4.37848796602339,optimal,148.495,2024-07-15T08:51:28.335977Z,-6.90875477931525,0.000211635499398712,FALSE,5,4.37848796602339,optimal
387,kknn,kc2,ce,109,0,0,0.145573294629898,0.718858621053743,0.963346985713326,0.826473445253933,0.518486947167921,3.49731390880516,1.02939329110086,inv,164.613999999999,2024-07-15T08:58:50.207920Z,-6.90875477931542,1.84060792589299e-09,FALSE,33,1.02939329110086,inv
394,kknn,kc2,bacc,88,0,0,0.147568940493469,0.735177911519375,1.3430261407721,0.819937176644494,0.527672568915082,2.41018399006392,2.81489028595388,optimal,137.878,2024-07-16T09:32:28.922052Z,-6.90875477931491,0.000170804424807679,FALSE,11,2.81489028595388,optimal
401,kknn,kc2,logloss,264,0,0,0.162772133526851,0.659356456551579,0.379083584768415,0.842131506704677,0.427284462559325,4.15090396954231,1.35933597292751,rectangular,124.764000000001,2024-07-18T09:58:37.412077Z,-6.90875477931522,0.000123665465844786,FALSE,63,1.35933597292751,rectangular
408,kknn,kc2,auc,110,0,0,0.158962264150943,0.634133671206842,0.380338154125849,0.850017685566466,0.428535630519554,4.60945789384928,1.59451751969755,rectangular,148.175000000002,2024-07-18T09:08:58.538445Z,-6.90875477931498,8.04694829957063e-06,FALSE,100,1.59451751969755,rectangular
415,kknn,kc2,mcc,192,0,0,0.139949201741655,0.736130292471756,1.20744285664842,0.825994615140957,0.545694630781563,2.80034620097166,2.32950666733086,rank,132.204000000001,2024-07-11T20:26:36.657116Z,-6.90875477931523,1.03834913638771e-05,FALSE,16,2.32950666733086,rank
