job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,min.bucket,min.node.size,mtry.ratio,replace,sample.fraction,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated,x_domain_min.bucket,x_domain_min.node.size,x_domain_mtry.ratio,x_domain_replace,x_domain_sample.fraction
199,ranger,diabetes,auc,450,0,0,0.225341763499658,0.73868660968661,0.471487518757613,0.840150997150997,0.494882359472335,1,21,0.269306285073981,FALSE,0.668089440907352,163.514000000003,2024-07-11T02:07:16.556787Z,-6.90875477931518,3.12123942092455e-05,FALSE,1,21,0.269306285073981,FALSE,0.668089440907352
206,ranger,diabetes,mcc,253,0,0,0.216267942583732,0.742917378917379,0.481942110977142,0.833940170940171,0.511933030832189,3,2,0.694617432774976,TRUE,0.945704218931496,280.070000000003,2024-07-11T00:43:23.222337Z,-6.90875477931522,1.11290126899005e-11,FALSE,3,2,0.694617432774976,TRUE,0.945704218931496
213,ranger,breast-w,ce,156,0,0,0.0243271221532091,0.97743961352657,0.122056054474659,0.99212882447665,0.947672233662075,1,44,0.0267522966023535,TRUE,0.98750562206842,366.347999999997,2024-07-10T23:36:42.376752Z,-6.90875477931522,0.00012114465145014,FALSE,1,44,0.0267522966023535,TRUE,0.98750562206842
220,ranger,breast-w,bacc,255,0,0,0.0228985507246377,0.980519323671498,0.160102936806785,0.991855072463768,0.951123317333404,6,44,0.0296798518393189,TRUE,0.192841321718879,271.199000000002,2024-07-11T00:52:16.082040Z,-6.90875477931512,1.16446504140282e-05,FALSE,6,44,0.0296798518393189,TRUE,0.192841321718879
227,ranger,breast-w,logloss,416,0,0,0.0300414078674948,0.970102657004831,0.0898649383078593,0.994397987117552,0.934842794903083,1,1,0.164555405499414,FALSE,0.790465368027799,194.919999999995,2024-07-11T02:13:17.993893Z,-6.90875477931521,3.5588774386106e-07,FALSE,1,1,0.164555405499414,FALSE,0.790465368027799
234,ranger,breast-w,auc,166,0,0,0.0300414078674948,0.970102657004831,0.0907961537284104,0.994354388083736,0.934842794903083,1,2,0.136240236228332,FALSE,0.905107387690805,367.934000000002,2024-07-10T23:42:20.812482Z,-6.90875477931517,2.77492964734281e-05,FALSE,1,2,0.136240236228332,FALSE,0.905107387690805
241,ranger,breast-w,mcc,206,0,0,0.0228985507246377,0.979522946859903,0.155182230231089,0.99157962962963,0.950824762739426,3,26,0.0329322561156005,FALSE,0.113765566051006,521.508000000002,2024-07-11T00:55:03.916859Z,-6.9087547793152,3.78722370594274e-05,FALSE,3,26,0.0329322561156005,FALSE,0.113765566051006
248,ranger,tic-tac-toe,ce,334,0,0,0.0157017543859649,0.977361853832442,0.156269322544449,0.999808261525529,0.965728904392745,1,1,0.36020414205268,FALSE,0.969654016522691,358.047999999999,2024-07-11T02:34:08.617008Z,-6.90875477931522,7.55644793426478e-06,FALSE,1,1,0.36020414205268,FALSE,0.969654016522691
255,ranger,tic-tac-toe,bacc,455,0,0,0.0157017543859649,0.977406417112299,0.162079015670773,0.999662295677476,0.965801093701613,1,2,0.399105149321258,FALSE,0.953332813852467,212.444999999989,2024-07-11T03:13:08.670435Z,-6.90875477931533,7.76425197405477e-07,FALSE,1,2,0.399105149321258,FALSE,0.953332813852467
262,ranger,tic-tac-toe,logloss,438,0,0,0.0261293859649123,0.965147065668887,0.135309381878581,0.998553530242335,0.942894223536065,1,1,0.599205751204863,FALSE,0.982391667040065,197.56500000001,2024-07-11T03:06:38.246594Z,-6.90875477931521,4.84015161278338e-07,FALSE,1,1,0.599205751204863,FALSE,0.982391667040065
269,ranger,tic-tac-toe,auc,140,0,0,0.0292763157894737,0.957843137254902,0.170515240294079,1,0.936481971807508,1,2,0.550640962552279,FALSE,0.681659758696333,298.837999999998,2024-07-10T23:20:45.505796Z,-6.90875477931496,7.63819914497237e-05,FALSE,1,2,0.550640962552279,FALSE,0.681659758696333
276,ranger,tic-tac-toe,mcc,336,0,0,0.0167434210526316,0.975891265597148,0.147813950604607,0.999952561669829,0.963499748644833,1,1,0.523083236766979,FALSE,0.86209967341274,207.884000000005,2024-07-11T01:08:00.056806Z,-6.90875477931521,1.62615851906266e-05,FALSE,1,1,0.523083236766979,FALSE,0.86209967341274
283,ranger,Australian,ce,309,0,0,0.121739130434783,0.879448652648992,0.40412977818608,0.940369596447695,0.757477977658406,1,2,0.807126572821289,TRUE,0.478640568233095,208.598,2024-07-11T01:11:55.268342Z,-6.90875477931521,9.67246761651297e-06,FALSE,1,2,0.807126572821289,TRUE,0.478640568233095
290,ranger,Australian,bacc,264,0,0,0.123188405797101,0.878079099734448,0.400356906010281,0.942029878252289,0.754990326006625,1,6,0.746365473838523,TRUE,0.474436716479249,275.276000000002,2024-07-11T00:37:14.562276Z,-6.9087547793153,2.50092281268971e-06,FALSE,1,6,0.746365473838523,TRUE,0.474436716479249
297,ranger,Australian,logloss,340,0,0,0.142028985507246,0.85789517217361,0.313413693358946,0.941994979176643,0.716962968057147,4,4,0.437036251882091,TRUE,0.91404999261722,252.709999999997,2024-07-11T01:16:22.723229Z,-6.90875477931527,5.32454086101092e-06,FALSE,4,4,0.437036251882091,TRUE,0.91404999261722
304,ranger,Australian,auc,366,0,0,0.133333333333333,0.866140786208698,0.318025984074917,0.945269325091057,0.732544518765934,1,1,0.389039400033653,FALSE,0.177961081778631,192.719000000005,2024-07-11T01:48:54.540930Z,-6.90875477931527,7.79410764117809e-05,FALSE,1,1,0.389039400033653,FALSE,0.177961081778631
311,ranger,Australian,mcc,456,0,0,0.126086956521739,0.875953375995821,0.322565828212955,0.939187236080275,0.750099546351689,3,41,0.938791681546718,TRUE,0.430905875260942,172.135999999995,2024-07-11T02:26:57.258456Z,-6.90875477931529,2.39901788801984e-05,FALSE,3,41,0.938791681546718,TRUE,0.430905875260942
318,ranger,credit-approval,ce,240,0,0,0.121739130434783,0.880001958991772,0.396330714102892,0.932183622828784,0.75813018775735,3,48,0.872332991566509,FALSE,0.997672437061556,434.434999999996,2024-07-11T01:31:20.043840Z,-6.90875477931521,1.24979756042212e-05,FALSE,3,48,0.872332991566509,FALSE,0.997672437061556
325,ranger,credit-approval,bacc,233,0,0,0.117391304347826,0.883955639719646,0.377201837347762,0.935220422852002,0.765989345409131,1,6,0.816556674428284,FALSE,0.50573386491742,320.258000000002,2024-07-11T00:31:03.694324Z,-6.90875477931534,4.11695477987726e-07,FALSE,1,6,0.816556674428284,FALSE,0.50573386491742
332,ranger,credit-approval,logloss,387,0,0,0.131884057971015,0.870163466980105,0.316556321323927,0.939853003061832,0.738511193779245,2,8,0.913684011669829,FALSE,0.283129418292083,282.939999999995,2024-07-11T01:53:25.124890Z,-6.90875477931519,1.42722380829988e-05,FALSE,2,8,0.913684011669829,FALSE,0.283129418292083
339,ranger,credit-approval,auc,155,0,0,0.128985507246377,0.872775020678246,0.31769402735701,0.940953666216824,0.744104162122907,4,42,0.773796360706911,TRUE,0.926266212482005,410.154999999999,2024-07-11T00:07:44.853739Z,-6.90875477931534,5.47884058476411e-05,FALSE,4,42,0.773796360706911,TRUE,0.926266212482005
346,ranger,credit-approval,mcc,416,0,0,0.115942028985507,0.881161029123678,0.346371386911718,0.936119600075457,0.76557707424904,1,8,0.106053329305723,TRUE,0.992215146915987,202.256000000005,2024-07-11T03:07:59.747307Z,-6.90875477931518,1.15893623933348e-06,FALSE,1,8,0.106053329305723,TRUE,0.992215146915987
353,ranger,climate-model-simulation-crashes,ce,295,0,0,0.0592592592592593,0.663979591836735,0.171200730264508,0.916224489795918,0.503475808829516,2,4,0.440945289330557,FALSE,0.861841428023763,278.404000000006,2024-07-11T01:39:54.082187Z,-6.90875477931509,6.64892789025727e-05,FALSE,2,4,0.440945289330557,FALSE,0.861841428023763
360,ranger,climate-model-simulation-crashes,bacc,157,0,0,0.0685185185185185,0.724397959183674,0.23444881987363,0.904688775510204,0.521503772882811,1,2,0.717850408982486,FALSE,0.971495879394934,525.706999999999,2024-07-10T23:58:18.690871Z,-6.90875477931502,0.000122507116162832,FALSE,1,2,0.717850408982486,FALSE,0.971495879394934
367,ranger,climate-model-simulation-crashes,logloss,279,0,0,0.0666666666666667,0.671459183673469,0.166210560586632,0.920964285714286,0.484707826365939,1,2,0.436562076210976,FALSE,0.953297982225195,153.028,2024-07-11T08:14:07.871408Z,-6.90875477931521,3.25612610937301e-06,FALSE,1,2,0.436562076210976,FALSE,0.953297982225195
374,ranger,climate-model-simulation-crashes,auc,168,0,0,0.0703703703703704,0.585,0.179824431399891,0.93280612244898,0.330525280300725,2,3,0.20047939918004,FALSE,0.795364581001923,127.39,2024-07-11T11:00:52.821263Z,-6.90875477931534,0.000117542625272149,FALSE,2,3,0.20047939918004,FALSE,0.795364581001923
381,ranger,climate-model-simulation-crashes,mcc,216,0,0,0.0648148148148148,0.701959183673469,0.238203872929931,0.89369387755102,0.532416941903607,1,3,0.940700468141586,FALSE,0.808074952615425,164.239000000001,2024-07-15T09:37:31.010502Z,-6.90875477931515,3.52165690044817e-05,FALSE,1,3,0.940700468141586,FALSE,0.808074952615425
388,ranger,kc2,ce,326,0,0,0.145573294629898,0.701203674374406,0.374795569393699,0.832124907612713,0.511091788421432,4,1,0.0315139701124281,TRUE,0.776258389162831,138.272000000002,2024-07-16T10:53:28.414321Z,-6.90875477931513,6.91159293521207e-06,FALSE,4,1,0.0315139701124281,TRUE,0.776258389162831
395,ranger,kc2,bacc,481,0,0,0.1533381712627,0.751591173054588,0.381434801536643,0.828738253616302,0.525270076344971,1,44,0.876607529586181,TRUE,0.206097100418992,131.114,2024-07-16T11:41:27.091538Z,-6.90875477931509,2.18501111016229e-14,FALSE,1,44,0.876607529586181,TRUE,0.206097100418992
402,ranger,kc2,logloss,252,0,0,0.153156748911466,0.693028719248231,0.364216878029786,0.845419702248971,0.476370865890634,25,40,0.00489191990345717,FALSE,0.857678841636516,143.677999999999,2024-07-18T09:51:14.359365Z,-6.9087547793152,1.16321382039355e-05,FALSE,25,40,0.00489191990345717,FALSE,0.857678841636516
409,ranger,kc2,auc,419,0,0,0.204970972423803,0.5,0.399560981731308,0.852882747333967,0,46,15,0.406562655465677,FALSE,0.331343367323279,113.459999999999,2024-07-18T10:40:37.271761Z,-6.90875477931537,5.41801975146813e-06,FALSE,46,15,0.406562655465677,FALSE,0.331343367323279
416,ranger,kc2,mcc,350,0,0,0.145537010159652,0.715445570689473,0.517132170184716,0.827047302291205,0.520292446289347,2,7,0.560840091668069,TRUE,0.421527532697655,110.469,2024-07-11T21:08:51.815509Z,-6.90875477931517,1.05554163063696e-06,FALSE,2,7,0.560840091668069,TRUE,0.421527532697655
