job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,kknn.k,kknn.distance,kknn.kernel,x_domain_kknn.k,x_domain_kknn.distance,x_domain_kknn.kernel,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated
2,kknn,blood-transfusion-service-center,ce,1,0,0,0.354072072072072,0.568842449260406,6.18501467832216,0.609961586973971,0.131574106070034,0.932566316210484,3.38979318228861,optimal,2,3.38979318228861,optimal,319.548,2024-07-10T21:51:08.461471Z,-0.00871990651006858,,
2,kknn,blood-transfusion-service-center,ce,2,0,0,0.212576576576577,0.626797385620915,0.520390244595318,0.749518403852769,0.321994330000562,3.5669001847388,2.20078944311788,cos,35,2.20078944311788,cos,424.841,2024-07-10T21:51:54.802398Z,-2.36216264013864,,
2,kknn,blood-transfusion-service-center,ce,3,0,0,0.350072072072072,0.561807705538356,12.0910610194004,0.561807705538356,0.120911990050507,0.680736302993397,4.21382385518402,biweight,1,4.21382385518402,biweight,424.706,2024-07-10T21:52:41.910718Z,-0.0346355167925929,,
2,kknn,blood-transfusion-service-center,ce,4,0,0,0.243279279279279,0.597282421740626,1.00443932997692,0.679408898062149,0.235053282837366,2.57271007038549,4.16620116426299,triweight,13,4.16620116426299,triweight,422.279,2024-07-10T21:53:31.710249Z,-1.24175847656728,,
2,kknn,blood-transfusion-service-center,ce,5,0,0,0.295315315315315,0.592234262125903,2.84725001603527,0.64729388831556,0.185131610147187,1.49395682639199,1.67333570864052,inv,4,1.67333570864052,inv,423.969,2024-07-10T21:54:17.919037Z,-0.479986527262118,,
2,kknn,blood-transfusion-service-center,ce,6,0,0,0.342126126126126,0.568808049535604,6.30960580658019,0.611707373007683,0.133070896545526,1.04479723834827,4.01662099154045,epanechnikov,2,4.01662099154045,epanechnikov,398.43,2024-07-10T21:55:07.101259Z,-0.0881986385944773,,
2,kknn,blood-transfusion-service-center,ce,7,0,0,0.213891891891892,0.627984176126591,0.520916484350954,0.750581928677904,0.323829326452692,3.41495747826645,2.05857295818627,rank,30,2.05857295818627,rank,374.673,2024-07-10T21:55:46.782345Z,-2.27735082417436,,
2,kknn,blood-transfusion-service-center,ce,8,0,0,0.244666666666667,0.601943584451324,1.90080518524069,0.672769751175324,0.242574964465562,2.23393678784689,3.6576151894778,inv,9,3.6576151894778,inv,341.008,2024-07-10T21:56:23.965610Z,-1.21176298600154,,
2,kknn,blood-transfusion-service-center,ce,9,0,0,0.343405405405405,0.566030271757826,11.860802510101,0.566030271757826,0.129802007427265,0.6422399586889,3.15782984736065,rectangular,1,3.15782984736065,rectangular,359.395,2024-07-10T21:57:08.988174Z,-0.0793789740704671,,
2,kknn,blood-transfusion-service-center,ce,10,0,0,0.347405405405405,0.567363261093911,11.9989576156806,0.567363261093911,0.130808008551672,0.371594759422286,4.51529602432003,gaussian,1,4.51529602432003,gaussian,322.733,2024-07-10T21:57:42.728803Z,-0.0522933965684875,,
2,kknn,blood-transfusion-service-center,ce,11,0,0,0.23390990990991,0.609124527003784,1.65464412668863,0.694043114321752,0.261101707131799,2.01767491533099,2.58517013769597,gaussian,7,2.58517013769597,gaussian,469.747,2024-07-10T21:58:32.147549Z,-1.4719714598473,,
2,kknn,blood-transfusion-service-center,ce,12,0,0,0.227243243243243,0.605744754041968,0.603650671257633,0.731908611397775,0.271074559527394,2.91955276361003,1.74190583202988,epanechnikov,18,1.74190583202988,epanechnikov,432.977,2024-07-10T21:59:20.766119Z,-1.67555090381856,,
2,kknn,blood-transfusion-service-center,ce,13,0,0,0.263225225225225,0.599656002751978,2.17540832136645,0.672127622979016,0.220352190967786,1.94015207448954,2.07827480379492,inv,6,2.07827480379492,inv,390.092,2024-07-10T22:00:06.978805Z,-0.878667566960982,,
2,kknn,blood-transfusion-service-center,ce,14,0,0,0.21790990990991,0.615686274509804,0.477817396865337,0.750487329434698,0.298387898515035,3.83773991342175,2.71223573740572,gaussian,46,2.71223573740572,gaussian,425.071,2024-07-10T22:00:56.702712Z,-2.05548796605843,,
2,kknn,blood-transfusion-service-center,ce,15,0,0,0.328666666666667,0.574432404540764,2.6255891311869,0.647907350074533,0.14535646082932,1.42347812097854,1.85176292172323,optimal,4,1.85176292172323,optimal,335.045,2024-07-10T22:01:37.419165Z,-0.186035544190677,,
2,kknn,blood-transfusion-service-center,ce,16,0,0,0.216576576576577,0.618464052287582,0.47705669777007,0.749828001375989,0.303513110758609,3.92501362572501,4.36841572115819,gaussian,50,4.36841572115819,gaussian,489.702,2024-07-10T22:02:33.130649Z,-2.1237962595877,,
2,kknn,blood-transfusion-service-center,ce,17,0,0,0.221927927927928,0.614955280357757,0.58051382189167,0.732330008026603,0.290067316862249,3.09889646011975,3.98612910506626,cos,22,3.98612910506626,cos,438.204,2024-07-10T22:03:23.524564Z,-1.87402111684697,,
2,kknn,blood-transfusion-service-center,ce,18,0,0,0.274018018018018,0.586609907120743,2.03350306785138,0.654388831556014,0.188444426603787,1.82743335373051,4.63792035752287,biweight,6,4.63792035752287,biweight,326.823,2024-07-10T22:04:03.928417Z,-0.726158495027236,,
2,kknn,blood-transfusion-service-center,ce,19,0,0,0.22190990990991,0.613054695562435,0.487081558851131,0.742328861369109,0.288173485287482,3.78192665293164,3.24226877057304,biweight,43,3.24226877057304,biweight,322.271,2024-07-10T22:04:42.520702Z,-1.87476558270851,,
