job.id,time.running,used_time,learner_id,problem,measure_id
74,8368.54049992561,0.193716215276056,svm,ilpd,classif.ce
75,14439.7792999744,0.334254150462371,xgboost,ilpd,classif.ce
76,19515.7337999344,0.451753097220703,catboost,ilpd,classif.ce
77,19850.8501999378,0.459510421294857,lightgbm,ilpd,classif.ce
78,3899.97729992867,0.0902772523131635,glmnet,ilpd,classif.bacc
79,5783.9821999073,0.133888476849706,kknn,ilpd,classif.bacc
80,9251.56770014763,0.21415665972564,ranger,ilpd,classif.bacc
81,9352.81360006332,0.216500314816281,svm,ilpd,classif.bacc
82,14422.0567998886,0.333843907404829,xgboost,ilpd,classif.bacc
83,20352.1242001057,0.471113986113557,catboost,ilpd,classif.bacc
84,19033.3812000752,0.440587527779517,lightgbm,ilpd,classif.bacc
85,4077.49699997902,0.094386504629144,glmnet,ilpd,classif.logloss
86,5931.7990000248,0.137310162037611,kknn,ilpd,classif.logloss
87,9356.54990005493,0.216586803242012,ranger,ilpd,classif.logloss
88,8290.15140008927,0.191901652779844,svm,ilpd,classif.logloss
89,14578.6542000771,0.337468847224006,xgboost,ilpd,classif.logloss
90,,,catboost,ilpd,classif.logloss
91,19591.3680999279,0.453503891202035,lightgbm,ilpd,classif.logloss
92,4031.43740010262,0.0933203101875605,glmnet,ilpd,classif.mauc_aunu
93,5930.98919987679,0.137291416663814,kknn,ilpd,classif.mauc_aunu
94,8989.05279994011,0.20807992592454,ranger,ilpd,classif.mauc_aunu
95,8361.88980007172,0.193562263890549,svm,ilpd,classif.mauc_aunu
96,13652.2538998127,0.316024395828998,xgboost,ilpd,classif.mauc_aunu
97,,,catboost,ilpd,classif.mauc_aunu
98,18140.369300127,0.419915956021459,lightgbm,ilpd,classif.mauc_aunu
99,3980.35280013084,0.0921377962993251,glmnet,ilpd,classif.mcc
100,5660.20630002022,0.131023293981949,kknn,ilpd,classif.mcc
101,8957.94970011711,0.20735994676197,ranger,ilpd,classif.mcc
102,11371.1183998585,0.263220333330057,svm,ilpd,classif.mcc
103,,,xgboost,ilpd,classif.mcc
104,18430.4625000954,0.426631076391096,catboost,ilpd,classif.mcc
105,,,lightgbm,ilpd,classif.mcc
